0,1,2,3,4,Class
516,362,468,94,324,0
942,142,267,254,159,0
1214,54,212,215,69,0
698,311,379,134,242,0
350,405,540,57,412,0
621,297,451,131,264,0
765,205,383,142,269,0
118,461,624,12,549,0
971,83,330,264,116,0
558,303,508,111,284,0
454,353,535,76,346,0
646,258,444,166,250,0
886,218,301,195,164,0
693,240,394,172,265,0
807,189,336,214,218,0
1537,22,55,110,40,0
862,257,295,172,178,0
773,187,371,207,226,0
856,193,322,189,204,0
677,289,432,129,237,0
613,340,452,128,231,0
773,184,361,159,287,0
445,279,575,143,322,0
729,211,388,205,231,0
293,428,599,34,410,0
639,369,411,107,238,0
577,371,437,74,305,0
775,294,336,153,206,0
546,382,497,75,264,0
613,350,428,101,272,0
397,403,522,72,370,0
455,388,516,63,342,0
869,271,294,181,149,0
560,259,531,167,247,0
806,238,346,161,213,0
525,398,473,80,288,0
625,301,471,141,226,0
102,421,625,21,595,0
600,332,459,102,271,0
790,182,397,220,175,0
506,347,495,108,308,0
489,450,489,41,295,0
520,452,492,45,255,0
489,382,530,70,293,0
664,326,391,122,261,0
1013,174,246,210,121,0
626,301,403,128,306,0
658,365,394,110,237,0
795,222,371,200,176,0
616,345,420,97,286,0
666,225,479,147,247,0
842,208,371,180,163,0
418,410,469,55,412,0
603,380,458,100,223,0
680,308,402,127,247,0
642,260,435,141,286,0
838,277,361,131,157,0
772,293,334,163,202,0
850,316,273,147,178,0
460,313,509,86,396,0
672,264,401,168,259,0
688,316,354,121,285,0
744,185,406,189,240,0
720,267,417,139,221,0
854,197,355,136,222,0
884,210,346,125,199,0
566,345,465,106,282,0
528,299,538,127,272,0
619,305,443,140,257,0
699,239,418,169,239,0
622,268,467,131,276,0
644,273,443,151,253,0
197,404,634,29,500,0
553,320,475,90,326,0
808,237,376,154,189,0
695,211,441,157,260,0
743,261,373,164,223,0
524,292,488,127,333,0
838,197,378,164,187,0
438,347,450,90,439,0
698,273,388,157,248,0
726,245,408,141,244,0
617,254,488,179,226,0
646,284,451,139,244,0
767,221,397,154,225,0
504,413,464,70,313,0
647,360,386,104,267,0
886,210,281,206,181,0
933,122,355,197,157,0
695,233,450,127,259,0
871,240,311,130,212,0
784,228,403,156,193,0
682,292,403,151,236,0
463,207,573,162,359,0
275,437,530,28,494,0
863,213,324,189,175,0
529,330,504,104,297,0
689,210,434,185,246,0
898,160,329,235,142,0
731,237,405,168,223,0
555,374,471,100,264,0
394,411,517,52,390,0
367,383,525,65,424,0
840,205,310,137,272,0
953,230,259,166,156,0
453,396,546,68,301,0
966,144,279,264,111,0
824,166,363,247,164,0
808,149,364,241,202,0
764,183,403,213,201,0
561,254,506,150,293,0
900,150,322,231,161,0
708,397,349,95,215,0
763,171,468,206,156,0
597,305,474,123,265,0
451,357,529,96,331,0
633,204,502,170,255,0
762,184,425,212,181,0
854,159,342,244,165,0
1040,128,248,240,108,0
653,257,459,132,263,0
879,210,299,209,167,0
706,277,423,151,207,0
599,370,460,98,237,0
534,415,474,59,282,0
587,308,465,115,289,0
663,268,444,144,245,0
378,398,528,56,404,0
402,320,533,95,414,0
715,273,394,160,222,0
951,191,257,205,160,0
618,311,452,122,261,0
968,119,315,223,139,0
885,221,283,206,169,0
569,284,485,153,273,0
810,156,404,201,193,0
721,297,390,144,212,0
422,338,474,57,473,0
722,257,405,100,280,0
1216,54,200,231,63,0
715,319,397,113,220,0
648,360,397,110,249,0
662,258,441,137,266,0
732,148,477,223,184,0
429,374,536,80,345,0
512,313,521,135,283,0
914,228,307,119,196,0
571,358,444,98,293,0
804,280,322,158,200,0
230,444,614,28,448,0
576,340,459,105,284,0
746,256,401,172,189,0
600,364,427,84,289,0
867,180,347,203,167,0
669,251,426,173,245,0
626,232,474,179,253,0
776,215,377,177,219,0
732,283,410,150,189,0
1094,130,224,203,113,0
