0,1,2,3,4,Class
500,305,533,101,325,2
498,333,470,97,366,2
447,403,484,65,365,2
689,279,392,122,282,2
605,286,407,157,309,2
986,170,280,177,151,2
944,118,331,239,132,2
650,316,420,136,242,2
666,334,383,131,250,2
464,377,494,73,356,2
651,233,468,153,259,2
565,334,450,119,296,2
619,392,391,79,283,2
403,387,517,64,393,2
601,331,420,108,304,2
839,245,303,184,193,2
891,224,286,182,181,2
242,363,570,58,531,2
967,171,279,181,166,2
307,456,532,39,430,2
1140,159,194,123,148,2
933,84,339,264,144,2
963,157,311,144,189,2
864,146,381,202,171,2
224,430,549,35,526,2
450,365,537,105,307,2
768,184,414,196,202,2
589,206,534,175,260,2
568,338,504,116,238,2
722,244,385,169,244,2
560,349,500,105,250,2
737,293,399,165,170,2
897,184,360,168,155,2
628,215,508,153,260,2
645,285,436,152,246,2
1196,89,217,173,89,2
933,196,269,157,209,2
800,179,390,154,241,2
578,391,438,104,253,2
786,201,368,177,232,2
583,300,454,130,297,2
871,157,337,207,192,2
827,195,387,166,189,2
1158,64,212,229,101,2
393,415,538,54,364,2
358,428,543,57,378,2
762,166,407,194,235,2
207,408,596,38,515,2
584,342,355,85,398,2
410,368,518,80,388,2
580,293,443,151,297,2
1210,83,208,156,107,2
931,170,347,150,166,2
1061,106,270,169,158,2
567,343,478,89,287,2
1093,107,247,171,146,2
746,225,405,157,231,2
933,168,289,195,179,2
598,229,467,112,358,2
881,197,319,184,183,2
964,137,310,214,139,2
656,238,407,192,271,2
666,207,477,205,209,2
194,408,582,28,552,2
555,305,469,114,321,2
1129,73,268,193,101,2
513,387,449,94,321,2
602,234,521,177,230,2
632,314,448,125,245,2
679,300,401,124,260,2
315,401,564,37,447,2
226,321,589,74,554,2
1205,108,218,138,95,2
577,331,441,80,335,2
867,228,354,123,192,2
874,154,348,217,171,2
929,203,274,222,136,2
859,234,288,201,182,2
921,178,287,225,153,2
869,188,356,181,170,2
393,403,556,53,359,2
415,345,519,85,400,2
754,223,386,184,217,2
795,233,331,202,203,2
752,277,327,177,231,2
1075,116,266,176,131,2
732,213,391,219,209,2
700,295,306,136,327,2
328,444,584,33,375,2
759,260,326,161,258,2
1405,50,127,129,53,2
446,386,467,77,388,2
1124,107,196,213,124,2
874,100,394,239,157,2
824,174,382,203,181,2
884,135,371,228,146,2
637,270,423,114,320,2
605,265,467,148,279,2
925,194,284,191,170,2
872,139,316,231,206,2
620,276,477,118,273,2
269,316,556,64,559,2
430,383,527,77,347,2
359,358,572,84,391,2
746,264,374,168,212,2
874,159,352,199,180,2
541,330,488,100,305,2
645,287,421,158,253,2
626,361,423,102,252,2
803,216,343,113,289,2
581,337,434,89,323,2
873,158,348,204,181,2
186,445,598,28,507,2
341,395,548,74,406,2
638,348,430,102,246,2
868,202,330,177,187,2
797,231,386,159,191,2
994,131,291,217,131,2
634,355,388,110,277,2
159,388,591,43,583,2
739,209,383,163,270,2
516,421,488,77,262,2
700,238,388,167,271,2
412,380,487,85,400,2
454,315,555,81,359,2
814,247,370,155,178,2
379,306,564,99,416,2
483,454,448,66,313,2
576,250,505,149,284,2
740,217,403,178,226,2
773,244,364,159,224,2
940,201,287,150,186,2
840,121,380,224,199,2
989,121,284,237,133,2
686,286,374,162,256,2
269,420,614,51,410,2
1059,100,256,237,112,2
696,232,427,164,245,2
644,296,438,116,270,2
901,204,311,163,185,2
569,386,420,88,301,2
1070,86,244,243,121,2
660,304,396,126,278,2
606,388,408,93,269,2
731,253,412,132,236,2
1007,102,292,212,151,2
862,247,272,145,238,2
679,248,465,122,250,2
846,273,300,159,186,2
910,140,346,196,172,2
846,83,455,243,137,2
654,294,425,130,261,2
696,327,403,122,216,2
533,363,475,105,288,2
1204,56,218,177,109,2
376,394,512,74,408,2
409,309,536,68,442,2
643,277,447,135,262,2
469,365,547,68,315,2
889,189,291,166,229,2
418,428,535,60,323,2
606,299,441,132,286,2
429,425,512,48,350,2
1383,62,136,129,54,2
1068,155,180,275,86,2
763,252,354,179,216,2
912,221,282,190,159,2
982,114,288,239,141,2
807,263,337,142,215,2
936,148,344,196,140,2
536,355,502,94,277,2
776,225,366,174,223,2
676,370,385,101,232,2
520,340,457,113,334,2
391,370,548,81,374,2
993,129,280,190,172,2
714,215,444,180,211,2
585,184,506,179,310,2
770,187,418,200,189,2
624,346,429,131,234,2
942,161,268,233,160,2
552,278,475,93,366,2
