0,1,2,3,4,Class
737,300,383,141,203,1
435,423,525,56,325,1
907,213,265,217,162,1
613,283,437,107,324,1
615,370,400,92,287,1
438,388,516,85,337,1
701,301,390,157,215,1
407,300,577,110,370,1
881,267,265,169,182,1
647,271,464,156,226,1
495,356,496,103,314,1
577,356,439,74,318,1
514,246,501,155,348,1
285,379,601,75,424,1
954,206,242,184,178,1
649,245,464,150,256,1
373,326,596,67,402,1
697,302,396,140,229,1
910,254,297,157,146,1
652,260,419,108,325,1
537,352,503,95,277,1
269,420,563,35,477,1
620,321,443,118,262,1
597,362,432,113,260,1
714,235,392,134,289,1
633,258,447,178,248,1
927,156,324,200,157,1
702,237,450,147,228,1
519,255,501,130,359,1
625,287,387,145,320,1
610,380,410,92,272,1
559,288,414,131,372,1
821,234,327,186,196,1
600,266,490,156,252,1
552,350,433,93,336,1
497,307,514,87,359,1
689,288,432,122,233,1
602,323,462,86,291,1
761,304,345,149,205,1
975,164,256,257,112,1
685,332,362,134,251,1
437,353,555,70,349,1
413,366,554,74,357,1
492,368,511,94,299,1
535,329,467,95,338,1
588,363,423,116,274,1
778,325,310,156,195,1
381,304,589,91,399,1
358,354,614,76,362,1
443,374,555,87,305,1
716,343,382,122,201,1
777,248,366,159,214,1
598,407,444,64,251,1
378,421,506,45,414,1
455,301,523,104,381,1
826,261,328,117,232,1
409,414,541,45,355,1
608,326,474,71,285,1
611,255,505,131,262,1
773,223,367,166,235,1
804,206,382,197,175,1
575,348,442,108,291,1
658,288,386,146,286,1
520,302,480,126,336,1
504,384,475,54,347,1
809,237,329,192,197,1
586,368,445,118,247,1
347,348,585,67,417,1
788,198,365,223,190,1
615,331,422,122,274,1
731,250,393,150,240,1
801,238,352,141,232,1
496,401,477,69,321,1
271,391,640,58,404,1
619,237,535,139,234,1
368,436,584,37,339,1
600,277,482,96,309,1
500,300,523,115,326,1
664,296,405,136,263,1
587,266,449,164,298,1
733,247,428,167,189,1
510,371,502,104,277,1
639,257,430,158,280,1
772,210,343,213,226,1
676,280,382,161,265,1
274,401,558,30,501,1
696,197,454,121,296,1
413,395,548,68,340,1
435,338,535,89,367,1
319,391,613,60,381,1
633,238,428,205,260,1
474,315,496,94,385,1
699,228,304,121,412,1
495,318,561,119,271,1
968,135,288,216,157,1
722,222,411,201,208,1
769,269,374,150,202,1
647,270,383,126,338,1
654,211,467,139,293,1
578,332,450,142,262,1
310,385,590,65,414,1
554,348,430,105,327,1
552,347,490,102,273,1
489,358,509,60,348,1
473,377,531,82,301,1
665,317,438,130,214,1
657,285,387,147,288,1
667,272,436,167,222,1
290,352,657,75,390,1
312,417,556,46,433,1
525,276,503,120,340,1
334,358,588,93,391,1
779,225,382,138,240,1
878,169,350,201,166,1
544,344,486,113,277,1
529,279,514,114,328,1
755,225,360,176,248,1
814,268,343,166,173,1
661,201,409,182,311,1
870,202,326,171,195,1
743,215,403,171,232,1
514,429,476,68,277,1
360,364,538,79,423,1
658,254,428,168,256,1
535,331,485,106,307,1
389,403,534,64,374,1
596,332,440,118,278,1
575,312,486,123,268,1
821,211,329,219,184,1
651,179,489,214,231,1
833,171,362,222,176,1
677,305,370,134,278,1
868,184,378,167,167,1
295,406,614,75,374,1
196,447,612,26,483,1
500,326,493,82,363,1
530,339,491,88,316,1
877,171,325,233,158,1
548,329,480,104,303,1
813,231,362,175,183,1
147,326,667,55,569,1
856,265,300,176,167,1
749,341,364,125,185,1
387,353,537,65,422,1
621,381,376,97,289,1
664,245,414,183,258,1
593,323,442,139,267,1
650,241,440,174,259,1
358,349,562,74,421,1
538,320,518,90,298,1
482,339,535,92,316,1
623,370,414,100,257,1
630,323,419,128,264,1
502,316,481,114,351,1
759,234,337,214,220,1
643,362,419,137,203,1
458,419,496,51,340,1
459,340,488,87,390,1
494,318,511,116,325,1
797,247,376,130,214,1
693,251,451,138,231,1
600,251,453,157,303,1
864,255,293,184,168,1
761,245,344,179,235,1
705,220,419,205,215,1
773,167,398,148,278,1
389,422,533,50,370,1
462,365,461,57,419,1
828,263,340,127,206,1
531,309,437,129,358,1
739,226,392,179,228,1
697,274,431,106,256,1
778,229,380,144,233,1
630,359,401,108,266,1
426,414,531,57,336,1
535,361,493,76,299,1
558,292,450,135,329,1
563,264,517,145,275,1
369,420,532,45,398,1
609,295,476,143,241,1
802,254,295,190,223,1
793,254,332,156,229,1
1124,90,214,270,66,1
743,293,377,121,230,1
570,305,370,105,414,1
595,338,449,102,280,1
637,272,457,109,289,1
717,321,401,139,186,1
574,364,452,99,275,1
590,305,477,107,285,1
697,245,368,193,261,1
507,338,524,100,295,1
663,360,392,95,254,1
550,345,493,112,264,1
606,228,383,174,373,1
738,240,432,143,211,1
448,366,519,88,343,1
747,235,391,176,215,1
411,382,585,88,298,1
